SKU,productType,productName,status,productSection,productOrder,pageTemplate,pageTitle,pageResources,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageCopys,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSubtitle,pageSeoTitle,pageSeoDescription
88950,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL BOLD,NVO,Página 6 / Cobertores Ligeros,1,Cobertor,Bold,['' ''],[''],['63932'],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88954,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL GALIA,NVO,Página 6 / Cobertores Ligeros,2,Cobertor,Galia,['' ''],['89126'],['63932'],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88958,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL PLUMAS,NVO,Página 6 / Cobertores Ligeros,3,Cobertor,Plumas,['' ''],[''],['87835'],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88942,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL SABIA,NVO,Página 6 / Cobertores Ligeros,4,Cobertor,Sabia,['' ''],['23737'],['87548'],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88946,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL COFFEE,NVO,Página 6 / Cobertores Ligeros,5,Cobertor,Coffee,['' ''],['88980'],['87546'],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
89102,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA NAVIDAD,NVO,Página 6 / Cobertores Ligeros,6,Cobertor,Navidad,['' ''],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88962,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL SNOW,NVO,Página 6 / Cobertores Ligeros,7,Cobertor,Snow,['' ''],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
54356,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL TINTO,CONT,Página 6 / Cobertores Ligeros,8,Cobertor,Tinto,['' ''],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
52396,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL ESTONIA,CONT,Página 6 / Cobertores Ligeros,9,Cobertor,Estonia,['#f2f1f1' '#eae9e8'],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
52588,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL NEGRO,CONT,Página 6 / Cobertores Ligeros,10,Cobertor,Negro,['#f5f6f6' '#eff0f0'],['88245'],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
52572,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA COLORS,CONT,Página 6 / Cobertores Ligeros,11,Cobertor,Colors,['#c4bec0' '#9d9397'],['88245'],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
87466,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA XL DREAMS,CONT,Página 6 / Cobertores Ligeros,12,Cobertor,Dreams,['#eef2f3' '#e4eaeb'],[''],[''],[],[],[],[],[],['/videos/chavos/CobertorLigeroDreams.mp4'],Activa,,[],Cobertor Ligero,,
87469,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA DINOSAURIOS,CONT,Página 6 / Cobertores Ligeros,13,Cobertor,Dinosaurios,['#c7cad3' '#a2a8b6'],[''],[''],[],[],[],[],[],['/videos/chavos/CobertorLigeroDinosaurios.mp4'],Activa,,[],Cobertor Ligero,,
87695,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA HARRY POTTER,CONT,Página 6 / Cobertores Ligeros,14,Cobertor,Harry Potter,['#d1d4d1' '#b3b7b3'],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88091,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL TORONTO,CONT,Página 6 / Cobertores Ligeros,15,Cobertor,Toronto,['' ''],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88097,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA WINTER,CONT,Página 6 / Cobertores Ligeros,16,Cobertor,Winter,['' ''],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88146,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL LILA,CONT,Página 6 / Cobertores Ligeros,17,Cobertor,Lila,['#f2efee' '#eae5e3'],['88245'],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88670,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL NAVY,CONT,Página 6 / Cobertores Ligeros,18,Cobertor,Navy,['#edeeef' '#e2e3e5'],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88437,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL LOVE,CONT,Página 6 / Cobertores Ligeros,19,Cobertor,Love,['#dedddd' '#c9c7c7'],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88440,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL CELESTE,CONT,Página 6 / Cobertores Ligeros,20,Cobertor,Celeste,['#dad8d9' '#c1bec0'],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88400,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL BATMAN,CONT,Página 6 / Cobertores Ligeros,21,Cobertor,Batman,['#e8e6e5' '#dad6d4'],[''],['64136'],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88543,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA PLAYSTATION,CONT,Página 6 / Cobertores Ligeros,22,Cobertor,Playstation,['#bec0c3' '#94969c'],[''],[''],[],[],[],[],[],[],Activa,,[],Cobertor Ligero,,
88974,COBERTOR EVEREST,COBERTOR EVEREST FRAZADA IVORY,NVO,Página 7 / Frazadas,1,JuegoDeEdredon,Ivory,[''],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Everest,,
88231,COBERTOR EVEREST,COBERTOR EVEREST FRAZADA GANTE,CONT,Página 7 / Frazadas,2,JuegoDeEdredon,Gante,[''],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Everest,,
89011,COBERTOR EVEREST,CHENILLE ROSE FRAZADA,NVO,Página 7 / Frazadas,3,JuegoDeEdredon,Chenille Rose,[''],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Everest,,
89132,FRAZADA ELÉCTRICA,FRAZADA TÉRMICA,NVO,Página 7 / Frazadas,4,JuegoDeEdredon,Térmica,[''],[],[],[],[],[],[],[],[],Activa,,[],,,
88585,COBERTOR DECORATIVO,MUMBAI MENTA FRAZADA,CONT,Página 7 / Frazadas,5,JuegoDeEdredon,Mumbai Menta,['#c0c3bf'],['88551'],['88549'],[],[],[],[],[],[],Activa,,[],,,
87823,COBERTOR DECORATIVO,MUMBAI GRIS NEUTRAL FRAZADA,CONT,Página 7 / Frazadas,6,JuegoDeEdredon,Mumbai Gris Neutral,['#dbd8d7'],['24058'],['87868'],[],[],[],[],[],[],Activa,,[],,,
87824,COBERTOR DECORATIVO,MUMBAI SIENA FRAZADA,CONT,Página 7 / Frazadas,7,JuegoDeEdredon,Mumbai Siena,['#e7d8cf'],['88776'],['88649'],[],[],[],[],[],[],Activa,,[],,,
77556,COBERTOR DECORATIVO,MUMBAI BEIGE FRAZADA,CONT,Página 7 / Frazadas,8,JuegoDeEdredon,Mumbai Beige,['#d7d3cf'],['88860'],['88486'],[],[],[],[],[],[],Activa,,[],,,
88975,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA IVORY,NVO,Página 8 / Complementos,1,Sublinea,Ivory,[],[],[],[],[],[],[],[],[],Activa,,[],,,
89054,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA EVEREST CELESTE,NVO,Página 8 / Complementos,2,Sublinea,Everest Celeste,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88215,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA EVEREST PALENA,CONT,Página 8 / Complementos,3,Sublinea,Everest Palena,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88216,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA EVEREST NEBRASKA,CONT,Página 8 / Complementos,4,Sublinea,Everest Nebraska,[],[],[],[],[],[],[],[],[],Activa,,[],,,
87247,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA XL EVEREST BARROW,CONT,Página 8 / Complementos,5,Sublinea,Everest Barrow,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88485,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA GRIS NEUTRAL,CONT,Página 8 / Complementos,6,Sublinea,Gris Neutral,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88571,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA WAFFLE TURQUESA,CONT,Página 8 / Complementos,7,Sublinea,Waffle Turquesa,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88572,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA WAFFLE INCIENSO,CONT,Página 8 / Complementos,8,Sublinea,Waffle Incienso,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88809,Funda De Almohada,FUNDA DE ALMOHADA STD VOGA PEONY,CONT,Página 8 / Complementos,11,Sublinea,Voga Peony,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
88503,Funda De Almohada,FUNDA DE ALMOHADA STD VOGA PERLA,CONT,Página 8 / Complementos,13,Sublinea,Voga Perla,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
87515,Funda De Almohada,FUNDA DE ALMOHADA EUROPEA VELVET LILA,CONT,Página 8 / Complementos,15,Sublinea,Lila,[],[],[],[],[],[],[],[],[],Activa,,[],,,
88483,Funda De Almohada,FUNDA DE ALMOHADA STD VELVET MINT,CONT,Página 8 / Complementos,17,Sublinea,Mint,[],[],[],[],[],[],[],[],[],Activa,,[],,,
36254,Funda De Almohada,FUNDA DE ALMOHADA STD VELVET GRIS,CONT,Página 8 / Complementos,19,Sublinea,Gris,[],[],[],[],[],[],[],[],[],Activa,,[],,,
89101,Funda De Almohada,FUNDA DE ALMOHADA STD ALPES LILA,NVO,Página 8 / Complementos,20,Sublinea,Alpes Lila,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
88222,Funda De Almohada,FUNDA DE ALMOHADA STD ALPES GREIGE,CONT,Página 8 / Complementos,21,Sublinea,Alpes Greige,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
36070,Funda De Almohada,FUNDA DE ALMOHADA STD ALPES ROSA MATURA,CONT,Página 8 / Complementos,22,Sublinea,Alpes Rosa Matura,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
36059,Funda De Almohada,FUNDA DE ALMOHADA STD ALPES AZUL,CONT,Página 8 / Complementos,23,Sublinea,Alpes Azul,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
35820,Funda De Almohada,FUNDA DE ALMOHADA STD ALPES GRIS,CONT,Página 8 / Complementos,24,Sublinea,Alpes Gris,['INDIVIDUAL'],[],[],[],[],[],[],[],[],Activa,,[],,,
89057,Cojín,COJÍN CUADRADO EVEREST DENIM,NVO,Página 8 / Complementos,25,Sublinea,Cuadrado Everest Denim,[],[],[],[],[],[],[],[],[],Activa,,[],,,
89058,Cojín,COJÍN CUADRADO EVEREST STONE,NVO,Página 8 / Complementos,26,Sublinea,Cuadrado Everest Stone,[],[],[],[],[],[],[],[],[],Activa,,[],,,
89059,Cojín,COJÍN CUADRADO EVEREST CELESTE,NVO,Página 8 / Complementos,27,Sublinea,Cuadrado Everest Celeste,[],[],[],[],[],[],[],[],[],Activa,,[],,,
89060,Cojín,COJÍN CUADRADO EVEREST INCIENSO,NVO,Página 8 / Complementos,28,Sublinea,Cuadrado Everest Incienso,[],[],[],[],[],[],[],[],[],Activa,,[],,,
89140,Cojín,COJÍN EVEREST ESTRELLA BARROW,NVO,Página 8 / Complementos,29,Sublinea,Estrella Barrow,[],[],[],[],[],[],[],[],[],Activa,,[],,,
89100,Cojín,COJÍN EVEREST CORAZÓN SWEET PINK,NVO,Página 8 / Complementos,30,Sublinea,Corazón Sweet Pink,[],[],[],[],[],[],[],[],[],Activa,,[],,,
