productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageProducts,pageIcons,pageSeoTitle,pageSeoDescription
Funda De Almohada Lactancia Alpes Gris,24924,Almohadas,Página 6 / Básicos,22,[],[],[],[],[],Almohadas,Lactancia Alpes Gris,,[],[],[],[],Activa,['24924'],[],,
Almohada Abrazable Washed Mint,88752,Almohadas Abrazables,Página 6 / Básicos,23,[],[],[],[],[],Sublinea,Washed Mint,,[],[],[],[],Activa,['88752'],[],,
Almohada Abrazable Washed Gris,88751,Almohadas Abrazables,Página 6 / Básicos,24,[],[],[],[],[],Sublinea,Washed Gris,,[],[],[],[],Activa,['88751'],[],,
Almohada Abrazable Blush,88763,Almohadas Abrazables,Página 6 / Básicos,25,[],[],[],[],[],Sublinea,Blush,,[],[],[],[],Activa,['88763'],[],,
Almohada Abrazable Everest Bruselas,87476,Almohadas Abrazables,Página 6 / Básicos,26,[],[],[],[],[],Sublinea,Everest Bruselas,,[],[],[],[],Activa,['87476'],[],,
Almohada Abrazable Everest Barrow,87232,Almohadas Abrazables,Página 6 / Básicos,27,[],[],[],[],[],Sublinea,Everest Barrow,,[],[],[],[],Activa,['87232'],[],,
Almohada Abrazable Everest Deep Rose,88224,Almohadas Abrazables,Página 6 / Básicos,28,[],[],[],[],[],Sublinea,Everest Deep Rose,,[],[],[],[],Activa,['88224'],[],,
Almohada Abrazable Alpes Gris,36193,Almohadas Abrazables,Página 6 / Básicos,29,[],[],[],[],[],Sublinea,Alpes Gris,,[],[],[],[],Activa,['36193'],[],,
Almohada Abrazable Alpes Negro,36292,Almohadas Abrazables,Página 6 / Básicos,30,[],[],[],[],[],Sublinea,Alpes Negro,,[],[],[],[],Activa,['36292'],[],,
Funda De Almohada Abrazable Viasoft Gris,36307,Fundas De Almohada,Página 6 / Básicos,31,[],[],[],[],[],Sublinea, Viasoft Gris,,[],[],['viasoft'],[],Activa,['36307'],[],,
Funda De Almohada Abrazable Viasoft Washed Rose,87813,Fundas De Almohada,Página 6 / Básicos,32,[],[],[],[],[],Sublinea, Viasoft Washed Rose,,[],[],['viasoft'],[],Activa,['87813'],[],,
Protector De Colchón Mat Vialifresh,36082,Protectores De Colchón,Página 6 / Básicos,33,[],[],[],[],[],ProtectoresDeColchon,Vialifresh,,[],[],['vialifresh'],[],Activa,['36082'],[],,
Protector De Colchón Mat Tencel,87743,Protectores De Colchón,Página 6 / Básicos,34,[],[],[],[],[],ProtectoresDeColchon,Tencel,,[],[],[],[],Activa,['87743'],[],,
Protector De Colchón Mat Impermeable,36102,Protectores De Colchón,Página 6 / Básicos,35,[],[],[],[],[],ProtectoresDeColchon,Impermeable,,[],[],[],[],Activa,['36102'],[],,
Protector De Colchón Cuna Impermeable Baby,36111,Protectores De Colchón,Página 6 / Básicos,36,[],[],[],[],[],ProtectoresDeColchon,Impermeable Baby,,[],[],[],[],Activa,['36111'],[],,
Protector De Colchón Mat Básico Plus,24964,Protectores De Colchón,Página 6 / Básicos,37,[],[],[],[],[],ProtectoresDeColchon,Básico Plus,,[],[],[],[],Activa,['24964'],[],,
Protector De Colchón Mat Sognare Nuo,88713,Protectores De Colchón,Página 6 / Básicos,38,[],[],[],[],[],ProtectoresDeColchon,Sognare Nuo,,[],[],[],[],Activa,['88713'],[],,
Colchoneta Confort Mat,36271,Protectores De Colchón,Página 6 / Básicos,39,[],[],[],[],[],ProtectoresDeColchon,Confort,,[],[],[],[],Activa,['36271'],[],,
Colchoneta Memory Foam Mat,88758,Protectores De Colchón,Página 6 / Básicos,40,[],[],[],[],[],ProtectoresDeColchon,Memory Foam,,[],[],[],[],Activa,['88758'],[],,
Sábanas Cabos Mat Almond,88860,Sábanas Cabos,Página 6 / Básicos,41,[],[],[],[],[],VariantesDeColor,Almond,,[],[],[],[],Activa,['88860'],[],,
Sábanas Cabos Mat Gris Neutral,24058,Sábanas Cabos,Página 6 / Básicos,42,[],[],[],[],[],VariantesDeColor,Gris Neutral,,[],[],[],[],Activa,['24058'],[],,
Sábanas Cabos Mat Menta,24051,Sábanas Cabos,Página 6 / Básicos,43,[],[],[],[],[],VariantesDeColor,Menta,,[],[],[],[],Activa,['24051'],[],,
Sábanas Cabos Mat Vialifresh,23649,Sábanas Cabos,Página 6 / Básicos,44,[],[],[],[],[],VariantesDeColor,Vialifresh,,[],[],['vialifresh'],[],Activa,['23649'],[],,
Par Funda De Almohada Std Cabos Blanco,36127,Fundas De Almohada,Página 6 / Básicos,45,[],[],[],[],[],VariantesDeColor,Cabos Blanco,,[],[],[],[],Activa,['36127'],[],,
Par Funda De Almohada Std Cabos Gris,36137,Fundas De Almohada,Página 6 / Básicos,46,[],[],[],[],[],VariantesDeColor,Cabos Gris,,[],[],[],[],Activa,['36137'],[],,
Sábanas Camiseta Mat Azul,88869,Sábanas Camiseta,Página 6 / Básicos,47,[],[],[],[],[],VariantesDeColor,Azul,,[],[],[],[],Activa,['88869'],[],,
Sábanas Camiseta Mat Celeste,88772,Sábanas Camiseta,Página 6 / Básicos,48,[],[],[],[],[],VariantesDeColor,Celeste,,[],[],[],[],Activa,['88772'],[],,
Sábanas Camiseta Mat Almond,88776,Sábanas Camiseta,Página 6 / Básicos,49,[],[],[],[],[],VariantesDeColor,Almond,,[],[],[],[],Activa,['88776'],[],,
Sábanas Camiseta Mat Lila,88416,Sábanas Camiseta,Página 6 / Básicos,50,[],[],[],[],[],VariantesDeColor,Lila,,[],[],[],[],Activa,['88416'],[],,
Sábanas Camiseta Mat Gris Glacial,23737,Sábanas Camiseta,Página 6 / Básicos,51,[],[],[],[],[],VariantesDeColor,Gris Glacial,,[],[],[],[],Activa,['23737'],[],,
Sábanas Modal Mat Iris,88799,Sábanas Modal,Página 6 / Básicos,52,[],[],[],[],[],VariantesDeColor,Iris,,[],[],[],[],Activa,['88799'],[],,
Sábanas Modal Mat Perla,24908,Sábanas Modal,Página 6 / Básicos,53,[],[],[],[],[],VariantesDeColor,Perla,,[],[],[],[],Activa,['24908'],[],,
Sábanas Modal Mat Mint,87779,Sábanas Modal,Página 6 / Básicos,54,[],[],[],[],[],VariantesDeColor,Mint,,[],[],[],[],Activa,['87779'],[],,
Sábanas Viasoft Mat Jade,88634,Sábanas Viasoft,Página 6 / Básicos,55,[],[],[],[],[],VariantesDeColor,Jade,,[],[],['viasoft'],[],Activa,['88634'],[],,
Sábanas Viasoft Mat Almond,88494,Sábanas Viasoft,Página 6 / Básicos,56,[],[],[],[],[],VariantesDeColor,Almond,,[],[],['viasoft'],[],Activa,['88494'],[],,
