productName,SKU,productType,productSection,pageTemplate,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Novo Mat Blush,87725,Edredón Novo,Página 4 / Edredones Novo,JuegoDeEdredon,10,['87493'],['88457'],['87741'],['88242'],['88236'],Blush,Edredón Novo,[],['#efeae8'],[],[],Activa,[],,
Edredón Novo Mat Creta,86705,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,11,['88563'],['64045'],['87481'],['88501'],['51213'],Creta,Edredón Novo,[],['#ccd4d5'],[],[],Activa,[],,
Edredón Novo Mat Boston,86406,Edredón Novo,Página 4 / Edredones Novo,JuegoDeEdredon,12,['24317'],['63987'],['87483'],['88243'],['55176'],Boston,Edredón Novo,[],['#c9d6e0'],[],[],Activa,[],,
Edredón Novo Mat Cobalto,86713,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,13,['88498'],['63988'],['88477'],['88452'],['87695'],Cobalto,Edredón Novo,[],['#cacdd0'],[],[],Activa,[],,
Edredón Novo Mat Veneto,87714,Edredón Novo,Página 4 / Edredones Novo,JuegoDeEdredon,14,['88494'],['88488'],['88572'],['87497'],['42624'],Veneto,Edredón Novo,[],['#e3dbda'],[],[],Activa,[],,
Edredón Novo Mat Marla,88428,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,15,['87493'],['88486'],['88572'],['88454'],['88239'],Marla,Edredón Novo,[],['#f7f7f8'],[],[],Activa,[],,
Edredón Novo Mat Ultramar,87460,Edredón Novo,Página 4 / Edredones Novo,JuegoDeEdredon,16,['24146'],['63987'],['87483'],['36288'],['87241'],Ultramar,Edredón Novo,[],['#b8b8ba'],[],[],Activa,[],,
Edredón Novo Mat Deep Rose,43864,Edredón Novo,Página 4 / Edredones Novo,JuegoDeEdredon,17,['87497'],['87863'],['86621'],['87500'],['88175'],Deep Rose,Edredón Novo,[],['#f6f4f3'],[],[],Activa,[],,
Edredón Novo Mat Milán,86405,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,18,['87497'],['87863'],['35867'],['88454'],['88339'],Milán,Edredón Novo,[],['#efeced'],[],[],Activa,[],,
Colcha Mat Tula,87412,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,19,['88494'],['88629'],['86621' '88572'],['87710' '88573' '36629'],['77556'],Tula,Colcha,[],['#f5f2f0'],[],[],Activa,[],,
Colcha Mat Bambú,88877,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,20,['87493' '88634'],['63932'],['88541'],['87251' '88587'],[''],Bambú,Colcha,[],['#e5e4df'],[],[],Activa,[],,
Colcha Mat Australia,87804,Colcha,Página 4 / Edredones Novo,JuegoDeEdredon,21,['23649'],['87865'],['87483'],['87663' '36688' '36689'],[''],Australia,Colcha,[],['#e8e0e9'],[],[],Activa,[],,
