productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoDescription,pageSeoTitle
Protect 125 Ml Eucalité,86853,Protect,Página 4 / Básicos,32,[],[],[],[],[],Sublinea,eucalité,,[],['#bab9ba'],[],[],Activa,[],[],,
Protect 125 Ml Vialifresh,86854,Protect,Página 4 / Básicos,33,[],[],[],[],[],Sublinea,vialifresh,,[],['#f9fafd'],['vialifresh'],[],Activa,[],[],,
Protect 125 Ml Serenity,86852,Protect,Página 4 / Básicos,34,[],[],[],[],[],Sublinea,serenity,,[],['#f4f7f9'],[],[],Activa,[],[],,
Repelente De Mosquitos 125 Ml,86855,Protect,Página 4 / Básicos,35,[],[],[],[],[],Sublinea,repelente de mosquitos ,,[],['#bcbbbc'],[],[],Activa,[],[],,
Cojín Rex,36630,Cojínes,Página 5 / Decoración,1,[],[],[],[],[],Sublinea,rex,,[],[''],[],[],Activa,[],[],,
Cojín Everest Barrow,87251,Cojínes,Página 5 / Decoración,2,[],[],[],[],[],Sublinea,barrow,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Cojín Cuadrado Everest Palena,88219,Cojínes,Página 5 / Decoración,3,[],[],[],[],[],Sublinea,cuadrado everest palena,,[],[''],[],[],Activa,[],[],,
Cojín Circular Velvet Lila,88500,Cojínes,Página 5 / Decoración,4,[],[],[],[],[],Sublinea,circular lila,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Funda De Cojín Velvet Mint,88542,Cojínes,Página 5 / Decoración,5,[],[],[],[],[],Sublinea,mint,,[],[''],[],[],Activa,[],[],,
Adorno De Pared Cruz,71427,Adornos,Página 5 / Decoración,6,[],[],[],[],[],Sublinea,adorno de pared cruz,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Adorno Led Rex,87378,Adornos,Página 5 / Decoración,7,[],[],[],[],[],Sublinea,adorno led rex,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Adorno Led Love,88339,Adornos,Página 5 / Decoración,8,[],[],[],[],[],Sublinea,adorno led love,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Bolsa De Regalo Bebé 24-25,88756,Bolsa De Regalo,Página 5 / Decoración,9,[],[],[],[],[],Sublinea,bolsa de regalo bebé 24-25,,[],['#f2f2f2'],[],[],Activa,[],[],,
Cesto Rex,88383,Cestos,Página 5 / Decoración,10,[],[],[],[],[],Sublinea,cesto rex,,[],[''],[],[],Activa,[],[],,
Cesto Magic,88384,Cestos,Página 5 / Decoración,11,[],[],[],[],[],Sublinea,cesto magic,,[],[''],[],[],Activa,[],[],,
Cuadro Virgen,71428,Cuadros,Página 5 / Decoración,12,[],[],[],[],[],Sublinea,cuadro virgen,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Cuadro Virgen De Guadalupe,87310,Cuadros,Página 5 / Decoración,13,[],[],[],[],[],Sublinea,cuadro virgen de guadalupe,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Cuadro Angelito,87577,Cuadros,Página 5 / Decoración,14,[],[],[],[],[],Sublinea,cuadro angelito,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Cuadro Unicornio,88398,Cuadros,Página 5 / Decoración,15,[],[],[],[],[],Sublinea,cuadro unicornio,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Pizarrón Luminoso,87376,Decoración,Página 5 / Decoración,16,[],[],[],[],[],Sublinea,pizarrón luminoso,,[],['#d2d1d1'],[],[],Activa,[],[],,
Proyector Galaxy,87377,Decoración,Página 5 / Decoración,17,[],[],[],[],[],Sublinea,proyector galaxy,,[],['#b7b5b7'],[],[],Activa,[],[],,
Figura Decorativa Angelita,87962,Decoración,Página 5 / Decoración,18,[],[],[],[],[],Sublinea,figura decorativa angelita,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Serie De Luces Nápoles,87235,Decoración,Página 5 / Decoración,19,[],[],[],[],[],Sublinea,serie de luces nápoles,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Perchero Tula,87241,Repisas,Página 5 / Decoración,20,[],[],[],[],[],Sublinea,perchero tula,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Repisa Calkini,51117,Repisas,Página 5 / Decoración,21,[],[],[],[],[],Sublinea,calkini,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Jgo Repisas Taxco,54823,Repisas,Página 5 / Decoración,22,[],[],[],[],[],Sublinea,jgo repisas taxco,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Repisa Mina Natural,51213,Repisas,Página 5 / Decoración,23,[],[],[],[],[],Sublinea,mina natural,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Repisa Parra,55176,Repisas,Página 5 / Decoración,24,[],[],[],[],[],Sublinea,parra,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Repisa Comitán,42627,Repisas,Página 5 / Decoración,25,[],[],[],[],[],Sublinea,comitán,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Repisa Ixtlán,88175,Repisas,Página 5 / Decoración,26,[],[],[],[],[],Sublinea,ixtlán,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Jgo Repisas Tonalá,88176,Repisas,Página 5 / Decoración,27,[],[],[],[],[],Sublinea,jgo repisas tonalá,,[],['DOBLE_VERTICAL'],[],[],Activa,[],[],,
Tapete Decorativo Everest Barrow,87229,Tapetes Decorativos,Página 5 / Decoración,28,[],[],[],[],[],Sublinea,everest barrow,,[],[''],[],[],Activa,[],[],,
Tapete Decorativo Everest Deep Rose,88236,Tapetes Decorativos,Página 5 / Decoración,29,[],[],[],[],[],Sublinea,everest deep rose,,[],[''],[],[],Activa,[],[],,
