productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Novo Mat Marla,88428,Edredón Novo,Página 4 / Edredones Novo,15,['87493'],['88486'],['88572'],['88454'],['88239'],EdredonNovo,Marla,Edredón Novo,[],['#f7f7f8'],[],[],Activa,[],,
Edredón Novo Mat Ultramar,87460,Edredón Novo,Página 4 / Edredones Novo,16,['24146'],['63987'],['87483'],['36288'],['87241'],EdredonNovo,Ultramar,Edredón Novo,[],['#b8b8ba'],[],[],Activa,[],,
Edredón Novo Mat Deep Rose,43864,Edredón Novo,Página 4 / Edredones Novo,17,['87497'],['87863'],['86621'],['87500'],['88175'],EdredonNovo,Deep Rose,Edredón Novo,[],['#f6f4f3'],[],[],Activa,[],,
Edredón Novo Mat Milán,86405,Edredón Novo,Página 4 / Edredones Novo,18,['87497'],['87863'],['35867'],['88454'],['88339'],EdredonNovo,Milán,Edredón Novo,[],['#efeced'],[],[],Activa,[],,
Colcha Mat Tula,87412,Colcha,Página 4 / Edredones Novo,19,['88494'],[''],['86621' '88572'],['87710' '88573' '36629'],['77556'],JuegoDeEdredon,Tula,Colcha,[],['#f5f2f0'],[],[],Activa,[],,
Colcha Mat Bambú,88877,Colcha,Página 4 / Edredones Novo,20,['87493' '88634'],[''],['88541'],['87251' '88587'],[''],JuegoDeEdredon,Bambú,Colcha,[],['#e5e4df'],[],[],Activa,[],,
Colcha Mat Australia,87804,Colcha,Página 4 / Edredones Novo,21,['23649'],[''],['87483'],['87663' '36688' '36689'],[''],JuegoDeEdredon,Australia,Colcha,[],[],[],[],Activa,[],,
Colcha Mat Mauve,88887,Colcha,Página 4 / Edredones Novo,22,['88494'],[''],['87741'],['88500' '88587'],[''],JuegoDeEdredon,Mauve,Colcha,[],['#d4c7c7'],[],[],Activa,[],,
Colcha Mat Plumas,86724,Colcha,Página 4 / Edredones Novo,23,['88494'],[''],['86618' '87481'],['88573' '88542' '36629'],[''],JuegoDeEdredon,Plumas,Colcha,[],['#e0d7d2'],[],[],Activa,[],,
Colcha Mat Azálea,88850,Colcha,Página 4 / Edredones Novo,24,['88494'],[''],['87741'],['88794' '87500' '36629'],[''],JuegoDeEdredon,Azálea,Colcha,[],['#f6f2f2'],[],[],Activa,[],,
Colcha Mat Rosalia,86361,Colcha,Página 4 / Edredones Novo,25,['87493'],[''],['86621' '86618'],['87710' '36629'],[''],JuegoDeEdredon,Rosalia,Colcha,[],['#ede7e3'],[],[],Activa,[],,
Colcha Mat Lavanda,86503,Colcha,Página 4 / Edredones Novo,26,['23649'],[''],['35867'],['36629'],[''],JuegoDeEdredon,Lavanda,Colcha,[],[],[],[],Activa,[],,
Jgo Bolsas Comprimibles Care Gde,51138 o 88139,Accesorio Clóset,Página 4 / Edredones Novo,27,[],[],[],[],[],Sublinea,Jgo Bolsas Comprimibles Care,,[],[],[],[],Activa,[],,
Bolsa Para Almacenamiento Vinil,88338,Accesorio Clóset,Página 4 / Edredones Novo,28,[],[],[],[],[],Sublinea,Bolsa Para Almacenamiento Vinil,,[],[],[],[],Activa,[],,
Frazada Cooling,88867,Frazada Cooling,Página 5 / Cobertores,1,[],[],[],[],[],Cobertor,Cooling,Frazada,[],[],[],[],Activa,[],,
Mumbai Beige Frazada,77556,Frazada Mumbai,Página 5 / Cobertores,2,[],[],[],[],[],JuegoDeEdredon,Mumbai Beige,Frazada Mumbai,[],[],[],[],Activa,[],,
Mumbai Siena Frazada,87824,Frazada Mumbai,Página 5 / Cobertores,3,[],[],[],[],[],JuegoDeEdredon,Mumbai Siena,Frazada Mumbai,[],[],[],[],Activa,[],,
Mumbai Gris Neutral Frazada,87823,Frazada Mumbai,Página 5 / Cobertores,4,[],[],[],[],[],JuegoDeEdredon,Mumbai Gris Neutral,Frazada Mumbai,[],[],[],[],Activa,[],,
