SKU,productType,productName,status,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoTitle,pageSeoDescription
24723,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR MAT GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris,,[],[],[],[],Activa,,[],,
24724,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR QS GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris,,[],[],[],[],Activa,,[],,
24725,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR KS GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris,,[],[],[],[],Activa,,[],,
88245,SÁBANAS FRANELA,SÁBANAS FRANELA MAT VERMONT,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Vermont,,[],[],[],[],Activa,,[],,
88246,SÁBANAS FRANELA,SÁBANAS FRANELA KS VERMONT,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Vermont,,[],[],[],[],Activa,,[],,
24617,SÁBANAS FRANELA,SÁBANAS FRANELA MAT WINNIPEG,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Winnipeg,,[],[],[],[],Activa,,[],,
24618,SÁBANAS FRANELA,SÁBANAS FRANELA KS WINNIPEG,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Winnipeg,,[],[],[],[],Activa,,[],,
23736,SÁBANAS CAMISETA,SÁBANAS CAMISETA IND GRIS GLACIAL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris Glacial,,[],[],[],[],Activa,,[],,
23737,SÁBANAS CAMISETA,SÁBANAS CAMISETA MAT GRIS GLACIAL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris Glacial,,[],[],[],[],Activa,,[],,
23738,SÁBANAS CAMISETA,SÁBANAS CAMISETA QS GRIS GLACIAL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris Glacial,,[],[],[],[],Activa,,[],,
23739,SÁBANAS CAMISETA,SÁBANAS CAMISETA KS GRIS GLACIAL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris Glacial,,[],[],[],[],Activa,,[],,
88415,SÁBANAS CAMISETA,SÁBANAS CAMISETA IND LILA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Lila,,[],[],[],[],Activa,,[],,
88416,SÁBANAS CAMISETA,SÁBANAS CAMISETA MAT LILA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Lila,,[],[],[],[],Activa,,[],,
88418,SÁBANAS CAMISETA,SÁBANAS CAMISETA KS LILA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Lila,,[],[],[],[],Activa,,[],,
88771,SÁBANAS CAMISETA,SÁBANAS CAMISETA IND CELESTE,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Celeste,,[],[],[],[],Activa,,[],,
88772,SÁBANAS CAMISETA,SÁBANAS CAMISETA MAT CELESTE,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Celeste,,[],[],[],[],Activa,,[],,
88774,SÁBANAS CAMISETA,SÁBANAS CAMISETA KS CELESTE,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Celeste,,[],[],[],[],Activa,,[],,
88775,SÁBANAS CAMISETA,SÁBANAS CAMISETA IND ALMOND,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Almond,,[],[],[],[],Activa,,[],,
88776,SÁBANAS CAMISETA,SÁBANAS CAMISETA MAT ALMOND,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Almond,,[],[],[],[],Activa,,[],,
88778,SÁBANAS CAMISETA,SÁBANAS CAMISETA KS ALMOND,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Almond,,[],[],[],[],Activa,,[],,
88868,SÁBANAS CAMISETA,SÁBANAS CAMISETA IND AZUL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
88869,SÁBANAS CAMISETA,SÁBANAS CAMISETA MAT AZUL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
88871,SÁBANAS CAMISETA,SÁBANAS CAMISETA KS AZUL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
36193,ALMOHADA ABRAZABLE,ALMOHADA ABRAZABLE ALPES GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Gris,,[],[],[],[],Activa,,[],,
